text,label,label_name,language,domain,source,original_split,has_emoji,emoji_count,char_count,word_count,split
"David Mamet is a very interesting and a very un-equal director. His first movie 'House of Games' was the one I liked best, and it set a series of films with characters whose perspective of life changes as they get into complicated situations, and so does the perspective of the viewer.<br /><br />So is 'Homicide' which from the title tries to set the mind of the viewer to the usual crime drama. The principal characters are two cops, one Jewish and one Irish who deal with a racially charged area. The murder of an old Jewish shop owner who proves to be an ancient veteran of the Israeli Independence war triggers the Jewish identity in the mind and heart of the Jewish detective.<br /><br />This is were the flaws of the film are the more obvious. The process of awakening is theatrical and hard to believe, the group of Jewish militants is operatic, and the way the detective eventually walks to the final violent confrontation is pathetic. The end of the film itself is Mamet-like smart, but disappoints from a human emotional perspective.<br /><br />Joe Mantegna and William Macy give strong performances, but the flaws of the story are too evident to be easily compensated.",0,negative,en,movie_review,imdb,train,False,0,1180,205,train
收拾衣橱，看到当年答辩时的衣服，彼时彼景，记忆犹深。如今已是师生天涯永隔。[泪],0,negative,zh,social_media,weibo_senti_100k,unsplit,True,1,40,1,validation
//@王坚Jason: 哈哈哈哈哈哈[哈哈],1,positive,zh,social_media,weibo_senti_100k,unsplit,True,1,22,2,train
待遇与就业前景与洗碗工和屠夫看齐。。。这话说的真伤人心哪！[泪],0,negative,zh,social_media,weibo_senti_100k,unsplit,True,1,32,1,train
Lana Del Rey on the 15th of May? (Unintentional rhyme) someone must come with!,1,positive,en,social_media,tweet_eval_sentiment,train,False,0,78,14,train
黑猫警长喝水图！[哈哈],1,positive,zh,social_media,weibo_senti_100k,unsplit,True,1,12,1,train
"Well, I was hoping I'd heard wrong about this film as I'm a big fan of Ruggero Deodato and really didn't want to see him slip up; but unfortunately, this Giallo-styled supernatural load of nonsense is just as bad as I'd been lead to believe it would be - and that's pretty terrible! The plot doesn't work at all, as the film attempts to blend murders and a supernatural theme through a telephone and it all feels very forced and silly. Furthermore, the plot doesn't make much sense at all, and you have to ask yourself ""what's the point"" numerous times throughout the movie. The plot focuses on a young woman living in an apartment block and being terrorised by a telephone. The best thing about the movie is undoubtedly the presence of the beautiful English actress Charlotte Lewis, and unfortunately the good points pretty much stop there. There are a handful of deaths scenes, some of which are gory; but all of which are incredibly stupid, the one that sees someone get killed by coins sticks out especially in that respect. Overall, I really can't recommend this to anyone; non-Deodato fans are unlikely to impressed, and Deodato fans are likely to find the film depressing. Avoid!",0,negative,en,movie_review,imdb,test,False,0,1186,207,test
连续观察好几天，发现吉林市的空气质量真的很好，可以和海南媲美了，80公里外的长春就糟糕多了，污染指数持续2，3百[失望],0,negative,zh,social_media,weibo_senti_100k,unsplit,True,1,60,1,train
太慢了，10点多定的，1点15送到的。本来想取消订单，需要打电话取消。我打了，人家说需要换另外一个号，他们不负责取消。然后我又打了另外的号码，一位女士接的，我说我要取消，她说经理不在，她不管。说完她直接就挂了。。。牛逼~,0,negative,zh,food_delivery,waimai_10k,unsplit,False,0,110,1,train
"Lucille Ball cannot sing or act or dance. This makes the quality of her performance in MAME all the more dreadful. She's not allowed to do the low-brow slapstick that made her a hit on TV so she has to rely on building a character. Unfortunately, Ms. Ball never learned that skill as none of the tender moments have any warmth. How does she really feel about Patrick or Beau? We never really believe the words she says. That vacant stare of Ms. Ball is suppose to convince us she is emoting but there is no chemistry between her and Bruce Davidson, Robert Preston or Bea Arthur at all. For this reason every scene she's in is flat.<br /><br />Moreover, when Ms. Ball opens her mouth to sing we are immediately made aware of the reason why the studios dubbed her voice for every other musical she starred in earlier in her career. It was stated that she demanded her voice be used so this is a mistake of ego as well as leadership. It is made worse when she is singing in voice-over and she has to ""act the moment"" without words. Whoever thought that would work forgot who was playing Mame.<br /><br />I understand that Rosalind Russell did the role on stage and in the film AUNTIE MAME. Also, I am aware that Angela Lansbury won a Tony for her performance in the original 1966 Broadway musical. Neither of these women were known for their singing voices, but both could have pulled this off better than Lucille Ball. Why they went with her is the worst in blatant miscasting.<br /><br />The only person that gets out unscathed is Bea Arthur. She's big and wonderful, catty and common in all the right amounts. Unfortunately, you keep waiting for this movie to take off and invite you to join in on the fun. But the film never does and you can't. No one besides Bea Arthur appears to be having any fun.<br /><br />An additional bad review goes to director Gene Saks. Saks is known as an award-winning director of musicals and comedies for stage and screen, including the Broadway musical this film is based on. None of that skill and expertise is of aid here. The poor editing and storytelling quailty in this movie is beneath a director of his caliber. That glaring error in the execution of the movie is not the fault of Ms. Ball.",0,negative,en,movie_review,imdb,test,False,0,2231,408,test
唉，老虎各种乱，斯腾森打疯了，竟然七洞五只鸟。没老虎表现的球赛，就没味道，睡觉！[衰],0,negative,zh,social_media,weibo_senti_100k,unsplit,True,1,43,1,train
谢谢领导，我努力[哈哈],1,positive,zh,social_media,weibo_senti_100k,unsplit,True,1,12,1,train
"Offside is the story of teenage-girls who tried to sneak in the stadium to watch final world cup qualifying soccer match in Tehran that may lead Iran to the 2006 world cup in Germany. Females are forbidden to go to stadium by law in Iran, although many of them dress like boys and sneak in. Stadium guards search every one at the entrance to make sure no one carries fireworks and of course; no girl gets in.<br /><br />Like most of Panahi's work, his armature cast's performance was superb. You actually think that you are watching a documentary. The dialogs between the girls and the privates were executed delicately and astonishingly believable. The film depicts the interactions between captives and the drafted guards who themselves are serving mandartory away from their family and friends in a funny sort of way. At the end, the audience realizes that there is not such a difference between the girls and the guards who were just following orders.",1,positive,en,movie_review,imdb,train,False,0,955,164,train
//@混蛋是如何炼成地:真心不错~[赞] 不说话，不一定没心声。总有一句说出 你的心声。[悲伤],0,negative,zh,social_media,weibo_senti_100k,unsplit,True,2,48,3,train
百度送餐员的卫生真是堪忧,0,negative,zh,food_delivery,waimai_10k,unsplit,False,0,12,1,train
"What can I say? I think I have to write ""Spoiler alert"" and then ""reveal"" they used the F-word a LOT in this movie - like in every two sentences. I did not like this movie at all - too much hints on sexual perversions, sidesteps and cheating. And that swearing was totally out the window. I gave this movie ""3"" and two of those points are for Mira Sorvino's sexy movements on the dance floor.",0,negative,en,movie_review,imdb,train,False,0,392,76,train
"Wow, could have been such a good movie,Starts of with Brittany Daniels tied up, Im thinking cool we are going to get a flash back, but nothing, movie starts anew with the kid filming. This movie probably would have been better if it wasn't for the acting. I mean the acting was mostly horrible.. Although with the lines the poor actors had to deal with i guess they did the best they could..Still it really ruin the movie for me.. The twins were the only ones that seem to have some acting skills.. The movie drags to long for the supposed shocking conclusion.. All in all I have seen worse low budget movies but considering this was hype with the 8 films to die for I was very disappointed.. By the way, were did some reviewers say there was gore and stuff. Did I see the same movie.. Well this is 4 out of the eight, and so far only one has been any good..",0,negative,en,movie_review,imdb,train,False,0,858,165,train
"""FACT: Lady Gaga was the highest voted female on with over 120,202,201 votes! 2nd overall behind 1D!",1,positive,en,social_media,tweet_eval_sentiment,train,False,0,100,17,train
"What happens when you give a free man just enough money to trap him into the rat race and watch him squirm? Homeless people answer to no one. They have no mortgages, rent payments or idiot bosses. Homeless people don't have to worry about the IRS or performance reviews or credit card payments. But, give them just enough money to rent an apartment and buy a car and, suddenly, they have to worry about entering the rat race, buying gas for transportation, paying insurance on their car, and working for someone else. They get a chance to be a ""productive citizens."" This film was about as exploitive as a film can be. It's a way for the rich and middle-class sheeple to say ""see what happens when you try to help the poor?"" and it vindicates capitalistic arrogance.<br /><br />Why not a film that asks, ""What happens when you take away everything a rich man has?""",0,negative,en,movie_review,imdb,train,False,0,864,156,train
没有第一次吃的好，里面有小骨头渣子，咯牙,0,negative,zh,food_delivery,waimai_10k,unsplit,False,0,20,1,train
"Criticism of the film EVENING, based on the novel by Susan Minot and adapted for the screen by Minot and Michael Cunningham, has been harsh, so harsh that it may have discouraged many viewers from giving the film a try. The primary criticism has centered on the fact that very little happens in this film about a dying woman's fretting over a mistake she made one summer in her youth, that famous actors were given very minor roles, that the entire production was over-hyped, etc. For this viewer, seeing the film on a DVD in the quiet of the home, a very different reaction occurred.<br /><br />Ann Grant Lord (Vanessa Redgrave) is dying in her home by the ocean and her medication and memories allow her to share a man's name - 'Harris' - with her two grown daughters Nina (Toni Colette) and Constance (Natasha Richardson). As her daughters sit at her bedside Ann relives a particular summer when she was a bridesmaid for her best friend Lila (Mamie Gummer) - a marriage both Ann (Claire Danes as the youthful Ann) and Lila's alcoholic brother Buddy (Hugh Dancy) objected to, feeling that Lila was simply marrying a man of her class instead of the boy she had loved - Harris Arden (Patrick Wilson), her housekeeper's son who had become a physician. Harris, Buddy, Lila, and Ann are woven together in a series of infatuations and romances that have been kept secret until now, 50 years later, as Ann is dying. The older Lila (Meryl Streep) visits Ann at the end and the secrets are revealed: 'there are no such things as mistakes - life just goes on.' The film is a delicate mood piece and the script by Minot and Cunningham is rich in atmosphere and subtle life lessons. Yes, there are gaps in the story that could have used more explanation, but in order to maintain the aura of nostalgia of a dying lady's words, such 'holes' are understandable. The film is graced by the presence of not only Redgrave, Richardson (Redgrave's true daughter), Collette, Gummer (Streep's true daughter), Meryl Streep, Claire Danes, Eileen Atkins, Glenn Close, Hugh Dancy and Patrick Wilson, but also with an ensemble cast of brief but very solid performances. The setting is gorgeous (cinematography by Gyula Pados) and the musical score is by the inimitable Jan A.P. Kaczmarek. Lajos Koltai (""Being Julia') directs. Judge this film on your own.... Grady Harp",1,positive,en,movie_review,imdb,train,False,0,2344,407,train
"I'm giving it a three instead of the lower number it deserves because of its history. A full-length movie made by high school students! It shows, too, but that's part of the charm and appeal. Get ahold of some of the stuff George Lucas did at UCLA; this is better. Maybe due to being a group effort.<br /><br />A monster made of toxic waste and too much garbage--these kids were way ahead of their time!--starts ravaging the town of Milpitas during a high school dance. The monster destroys randomly, leaving garbage and smelly footprints.<br /><br />The movie has local TV and radio people, the Milpitas mayor, the Samuel Ayer High School principal, and a whole bunch of the high school students and their parents, not to mention the mayor's daughter as the ingénue.<br /><br />Dumb? Yeah! Fun? Yeah! Great screen writing? C'mon, they're untrained high schoolies! Copy that comment for the acting, cinematography, directing, et cetera.<br /><br />Milpitas is right next to San Jose in the heart of Silicon Valley; maybe one of the graphics geniuses there will update the video somehow. Now THERE's a challenge.",0,negative,en,movie_review,imdb,test,False,0,1111,186,test
热死啦 [抓狂] 反季游热门推荐之澳大利亚 @澳大利亚旅游局 ―― 8月是澳大利亚的冬季尾声，并不是十分寒冷。国庆优惠专享 9月30日上海出发 澳大利亚新西兰11天四星品质纯玩 http://t.cn/zQ6ttkQ,0,negative,zh,social_media,weibo_senti_100k,unsplit,True,1,108,9,train
以后再也不会忘记放手刹了[泪]教训啊！！,0,negative,zh,social_media,weibo_senti_100k,unsplit,True,1,20,1,test
"@user Ordered PC parts on Amazon Prime Day, one day shipping, haven't received my item yet. It is now Monday. Very dissatisfied.",0,negative,en,social_media,tweet_eval_sentiment,train,False,0,128,22,train
"an acted/manipulated documentary about one of the most darkest places of guatemala. portrayed as a fun, secure... but sad place, were a bunch of sex workers get to play in a soccer team, assembled in what seems like no more than a week! the documentary's main focus is to prove that society repels this kind of ""workers"", even though no solution to these poor women is ever achieved, except that the people who documented this,made them some sort of ""stars"" (just like the title says so) in exchange of being exploited for making this realityshowlike documentary. it does have, however, its own documented reality... but, that sadly has nothing to do with the main storyline. i would not accept to see it again; but i would recommend it for general cultural purposes only.",0,negative,en,movie_review,imdb,train,False,0,772,133,train
菜很难吃，大盘鸡全是鸡肉，没看到腿或者翅膀，白菜很黄，像腌菜，要了两份米饭，只送了一份，打电话质问，还说两份在一个盒子里，一个盒子两个人怎么吃呢！,0,negative,zh,food_delivery,waimai_10k,unsplit,False,0,73,1,validation
虽然是端午，好不容易有个小假期，结果要比平时还累。今天的任务：看摄影展，买相机，收拾屋子，接待周贱贱的朋友，准备星期一的稿件，搭专题，写国色天乡稿子，准备明天去西部大峡谷的东西。[泪],0,negative,zh,social_media,weibo_senti_100k,unsplit,True,1,92,1,train
"I can't say whether the post-WWII British comedies produced at the Ealing Studios are an acquired taste or not, but I am completely addicted, and The Man in the White Suit is one of the best. No need to go into the well-known plot about the threat posed to both the textile industry and the textile unions by an indestructible, dirt-resistant fiber. Suffice it to say that the slings and arrows suffered by the naively idealistic Sidney Stratton in pursuing his polymer vision make for a comedic delight. Many of the well-known faces from the world of British character actors - the nervous Cecil Parker, the suavely devious Michael Gough, and the bluntly ruthless Ernest Thesinger - put in wonderful performances. Guinness - as always and forever - is superb, and Joan Greenwood is delectable as Daphne (just the way she enunciates the word ""Daddy"", makes the entire movie worth seeing).<br /><br />""Knudsen!!!!!!!""",1,positive,en,movie_review,imdb,train,False,0,916,153,train
哦也！！！好看[鼓掌]谁说只有洋人才把姓放后面的？爆肚满、泥人张不都是嘛[嘻嘻],1,positive,zh,social_media,weibo_senti_100k,unsplit,True,2,40,1,test
"This reminds me of when I was a born-again believer who was going to be a minister. I never actually thought I would be a minister or even graduate from high school because I was almost positive I would be raptured to Heaven before that would ever happen. That was before I discovered that Christianity was a bunch rubbish. I am now an atheist, and that just proves that the ""once saved always saved"" doctorine that Christians tell us is no more real than elves. If it were true then why did I leave after many years of being a devout born again believer? Yes, I really was saved. I prayed that silly sinners prayer with all my heart.<br /><br />If Christians were to read their Bible they would discover that their god thinks like rape, genocide, abortion, and many other atrocities are alright according to him. They might be surprised to learn that no where is the word ""rapture"" mentioned.",0,negative,en,movie_review,imdb,train,False,0,893,161,train
I'll be damned if I'm gonna let the Muslims run this country of ours and turn it into a 3rd world shit hole like they did to theirs.,0,negative,en,social_media,tweet_eval_sentiment,train,False,0,132,28,train
"泰国清迈大象学校的小象超级有艺术天份,你画得比它画得好吗?[哈哈]",1,positive,zh,social_media,weibo_senti_100k,unsplit,True,1,33,1,test
"This is unlike any other movie, the closest thing I can compare it to is a Woody Allen film... But where as Woody Allen is constantly fathoming human foibles Bret Carr appears to be trying to figure out a way to get to grips with that one crippling insecurity that tends to define us for better or worse. In the Case of Lou, it is the root cause of his stuttering, which can be traced back to a singular child hood trauma that is revealed through flash backs.<br /><br />There are so many strangely neurotic people in the world and I believe they all deserve a chance for redemption, although diversity of human character is after all what makes the world such an intriguing place, so maybe we shouldn't fix our neurosis anymore than we should fix our noses or Breasts.<br /><br />This is an indie film shot on a long shoestring, but the production values are tremendous as is the scope of the film. I feel like its a quirky Gem for the self-help market. I really look forward to seeing what this filmmaker does next, i could imagine a career along the lines of Woody Allen or Albert Brooks, although usually when a guy like this breaks through, he goes off and makes "" X MEN"" and his humble quirky origins are soon forgotten or are they.... X Men is aout a bunch of freaks if i remember correctly :)",1,positive,en,movie_review,imdb,train,False,0,1300,242,train
#首届瑶里国际帐篷节#文艺晚会花絮，旅游小姐走秀、红歌手演唱等节目精彩纷呈，现场数千驴友热情高涨。[抱抱] @江西风景独好 @江西游友之声 @江西卫视 @贺超兵 http://t.cn/aOhc0m,1,positive,zh,social_media,weibo_senti_100k,unsplit,True,1,99,6,train
"Not an altogether bad start for the program -- but what a slap in the face to real law enforcement. The worst part of the series is that it attempts to bill itself as reality fare -- and is anything but. Men and women that dedicate their lives to the enforcement of laws deserve better than this. What is next, medical school in a minute? Charo performing lipo? Charles Grodin assisting on a hip replacement? C'mon...show a little respect. Even the citizens of Muncie are outing the program as staged. Police Academy = High School Gym? Poor editing (how many times can they use the car-to-car shot of the Taco Bell in the background?), cheesy siren effects (the same loop added ad nauseum to every 'call' whether rolling code or not), and last, but not least -- more officer safety issues than you could shake a stick at.<br /><br />If I want to see manufactured police work and wise-ass fake cops, I would watch RENO 911.",0,negative,en,movie_review,imdb,train,False,0,922,166,train
Would love to know the truth about Amanda Knox.,1,positive,en,social_media,tweet_eval_sentiment,train,False,0,47,9,train
"In my Lit. class we've just finished the book, Hatchet, and this movie is nothing like the book. (1) Brian never ate worms in the book. (2) He didn't know the pilot's name. (3) His mom was cheating on his father in a station wagon not in the woods where anyone could see. (4) The man the mother is cheating with doesn't have black hair, he has blonde. <br /><br />Now for the unrealistic parts of the movie: (1) A thirteen year old can't punch his fist through a window in one punch. <br /><br />And for the acting, the kid who played Brian was a horrible actor. <br /><br />However, I do believe that the scenery was impressive, though I highly doubt the director even read the book.<br /><br />This movie is good if you have not read the book Hatchet, by Gary Paulsen, but if you have, then begin a complaint letter to the director.",0,negative,en,movie_review,imdb,train,False,0,834,157,train
@user Lotta problems with this list... only one I'll mention here is that GKMC is Kendrick's 2nd album,0,negative,en,social_media,tweet_eval_sentiment,train,False,0,102,18,train
不长眼的开车的，该杀千刀的，泥马[怒] 现在猫咪如何了？[悲伤]//@刘二黑:帮帮这位小可怜！今早在街道上发现它被车压到，情况惨极了，遇到好心博主，现已得到救助，但情况不容乐观，希望它能够坚强的挺过来！估计医药费也是一笔不小开支！望大家伸出援手，一起帮它活下去！,0,negative,zh,social_media,weibo_senti_100k,unsplit,True,2,131,2,validation
"Oh man, it is amazing how somebody can claim global warming to be a science, well, I guess this elitist nonsense is now replacing the science of eugenics! Al Gore tries to make this issue sound complicated, even though it just needs common sense to see this whole thing is a big hoax by a man with his own moneymaking agenda!<br /><br />How have scientists estimated historical temperatures of this planet? By estimating the sun spot activity. Has nobody ever questioned if this method has been accurate? No, not even Gore himself! So how the heck would it not be accurate to forecast future temperature with sun spot activity if it has been that accurate in the past? According to sun spot activity the temperature today is totally in line with what it should be. How come the temperature in the entire universe has risen (relatively) equal much as on earth? Does our SUVs cause temperature on Jupiter to rise?<br /><br />Use some common sense! You do not need to be a rocket scientist to figure out that this can be nothing else than a HOAX. Please research it yourself. What does Al Gore and his elitist friends like Rothschild (banking family that arranged live earth event) to gain from this? Well, the new world bank will be founded on carbon credits, that is tax on everything that gives CO2 omissions, and it is easier to get away with these taxes if the people are lured to think it is to save the world when it is only about money, centralized control and more power to the elitist bankers. Al Gore has even a company that sells carbon credits! Is it not noble to pay voluntarily carbon credits to save the world, especially if it goes into his own company? <br /><br />I do not want you to blindly believe me, please do your own research and use your own common sense and I am sure you will come to the right conclusion!",0,negative,en,movie_review,imdb,train,False,0,1831,333,train
"Just used a colon. Holy Punctuation, Batman. It's nearly half-one in the morning. Sleepy Saturday.",1,positive,en,social_media,tweet_eval_sentiment,train,False,0,98,15,train
不好吃，鸡感觉味道怪怪的,0,negative,zh,food_delivery,waimai_10k,unsplit,False,0,12,1,train
@user I think those AAU teams may have had more talent than some of those Wizards teams he coached,1,positive,en,social_media,tweet_eval_sentiment,train,False,0,98,19,train
"书中自有黄金屋,知识是金...喵星人开始奋发图强了！[嘻嘻]",1,positive,zh,social_media,weibo_senti_100k,unsplit,True,1,30,1,train
"OK, Number one-this ""film"" is a ""90's"" version of a crappy show from the 70's that no one remembers! Number two-As soon as the movie started, I was confused, it was like I walked in halfway through the movie! There was no plot! it was very annoying! Horrible wardrobe! Call me crazy, but It's just not believable to me that little skinny Omar Epps can chase down a big grown man, without a gun, and scare him into talking! It's a ridiculous ""plot"". I'm sorry, but to me, kids these days can't even put their pants on one leg at a time, let alone catch some ""evil, underground, killers"". I walked out of the theater and demanded and got my money back! I do not reccomend this movie to anyone over 12 years old!",0,negative,en,movie_review,imdb,test,False,0,709,134,test
有点慢，因为是现蒸的，着急的就别催了,1,positive,zh,food_delivery,waimai_10k,unsplit,False,0,18,1,train
